SYMBOL,Tick
MIDCPNIFTY,75
FINNIFTY,40
BANKNIFTY,25
NIFTY,50
AARTIIND,850
ABBOTINDIA,40
ABCAPITAL,5400
ABFRL,2600
ALKEM,200
AMARAJABAT,1000
APOLLOHOSP,125
APOLLOTYRE,3500
ASHOKLEY,5000
ASTRAL,275
ATUL,75
AUROPHARMA,1000
AXISBANK,1200
BAJAJFINSV,50
BAJFINANCE,125
ACC,250
ADANIENT,500
BALRAMCHIN,1600
BANDHANBNK,1800
BATAINDIA,275
AMBUJACEM,1800
BEL,3800
BERGEPAINT,1100
BHARTIARTL,950
BHEL,10500
BIOCON,2300
BOSCHLTD,50
BPCL,1800
BSOFT,1300
CANBK,2700
CANFINHOME,975
CHOLAFIN,1250
AUBANK,1000
CIPLA,650
COFORGE,150
BAJAJ-AUTO,250
COLPAL,350
CONCOR,1000
COROMANDEL,700
DEEPAKNTR,250
DIVISLAB,150
DLF,1650
DRREDDY,125
BHARATFORG,1000
ESCORTS,550
EXIDEIND,3600
FEDERALBNK,10000
FSL,5200
BRITANNIA,200
GAIL,6100
GLENMARK,1150
GMRINFRA,22500
GNFC,1300
GODREJPROP,325
GRANULES,2000
GUJGASLTD,1250
HAL,475
HCLTECH,700
HDFC,300
HDFCAMC,300
COALINDIA,4200
HDFCBANK,550
HDFCLIFE,1100
HEROMOTOCO,300
HINDPETRO,2700
HINDUNILVR,300
HONAUT,15
ICICIBANK,1375
IDFCFIRSTB,15000
IEX,3750
INDHOTEL,4022
INDIACEM,2900
INDIAMART,150
INDUSINDBK,900
INDUSTOWER,2800
INFY,300
INTELLECT,750
IPCALAB,650
IRCTC,875
ITC,3200
JINDALSTEL,1250
JUBLFOOD,1250
KOTAKBANK,400
L&TFH,8924
LALPATHLAB,250
LAURUSLABS,900
LICHSGFIN,2000
LT,300
LTI,150
LTTS,200
LUPIN,850
M&M,700
MANAPPURAM,6000
MARICO,1200
MARUTI,100
MCDOWELL-N,625
MFSL,650
MGL,800
MINDTREE,200
MPHASIS,175
MRF,10
MUTHOOTFIN,375
NAM-INDIA,1600
NAUKRI,125
NAVINFLUOR,225
NTPC,5700
OFSS,200
IOC,9750
ONGC,3850
PAGEIND,15
PEL,275
PERSISTENT,150
PETRONET,3000
PFC,6200
PIDILITIND,250
PIIND,250
POWERGRID,2700
PVR,407
RAIN,3500
RECLTD,6000
SBICARD,800
SBILIFE,750
SHREECEM,25
SIEMENS,275
SRF,375
SUNTV,1500
TATACOMM,500
TATACONSUM,900
TATAMOTORS,1425
TATAPOWER,3375
TATASTEEL,4250
TECHM,600
TORNTPHARM,500
TORNTPOWER,1500
TRENT,725
TVSMOTOR,1400
UPL,1300
M&MFIN,4000
WHIRLPOOL,350
ABB,250
WIPRO,1000
ZEEL,3000
METROPOLIS,300
NESTLEIND,40
ADANIPORTS,1250
BANKBARODA,5850
RELIANCE,250
CHAMBLFERT,1500
CROMPTON,1500
CUB,5000
CUMMINSIND,600
DABUR,1250
DALBHARAT,500
DELTACORP,2300
DIXON,125
TATACHEM,1000
TCS,150
GODREJCP,1000
GRASIM,475
HAVELLS,500
ASIANPAINT,200
HINDALCO,1075
HINDCOPPER,4300
IBULHSGFIN,4000
ICICIGI,425
IDFC,10000
IGL,1375
INDIGO,300
JKCEMENT,250
JSWSTEEL,1350
MCX,400
MOTHERSON,4500
NATIONALUM,4250
OBEROIRLTY,700
PNB,16000
POLYCAB,300
RAMCOCEM,850
RBLBANK,5000
SAIL,6000
SRTRANSFIN,600
SUNPHARMA,700
SYNGENE,1000
TITAN,375
UBL,400
ICICIPRULI,1500
ULTRACEMCO,100
VOLTAS,500
ZYDUSLIFE,1800
SBIN,1500
EICHERMOT,350
BALKRISIND,300
GSPL,2500
IDEA,70000
NMDC,3350
VEDL,1550
